"","state_abbrev","state","dem_percent2024","rep_percent2024","ev_total","called2020","dem_percent2020","rep_percent2020","called2016","called2024"
"1","AK","Alaska",0.414061275604195,0.545448093749723,3,"R",0.428,0.528,"R","R"
"2","AL","Alabama",0.341007200596886,0.645720920581522,9,"R",0.366,0.62,"R","R"
"3","AR","Arkansas",0.335599098992454,0.641968721780099,6,"R",0.348,0.624,"R","R"
"4","AZ","Arizona",0.466898179761964,0.522170480988956,11,"D",0.494,0.491,"R","R"
"5","CA","California",0.58467704244594,0.383329021034668,54,"D",0.635,0.343,"D","D"
"6","CO","Colorado",0.541276863639282,0.431428441670099,10,"D",0.554,0.419,"D","D"
"7","CT","Connecticut",0.563983718114166,0.41893906231346,7,"D",0.593,0.392,"D","D"
"8","DC","District of Columbia",0.902770745299492,0.0646762963031157,3,"D",0.921,0.054,"D","D"
"9","DE","Delaware",0.564927316966653,0.417909894874754,3,"D",0.587,0.398,"D","D"
"10","FL","Florida",0.429882927388103,0.560883431163111,30,"R",0.479,0.512,"R","R"
"11","GA","Georgia",0.485252923067547,0.507172953995549,16,"D",0.495,0.493,"R","R"
"12","HI","Hawaii",0.605851353103632,0.374802835682532,4,"D",0.637,0.343,"D","D"
"13","IA","Iowa",0.425173098263547,0.557268203420968,6,"R",0.449,0.531,"R","R"
"14","ID","Idaho",0.303818671392725,0.668740946662792,4,"R",0.331,0.639,"R","R"
"15","IL","Illinois",0.543705743159883,0.43474955221708,19,"D",0.575,0.406,"D","D"
"16","IN","Indiana",0.39623118238744,0.585814170233907,11,"R",0.41,0.57,"R","R"
"17","KS","Kansas",0.410407271516604,0.57156307929174,6,"R",0.416,0.562,"R","R"
"18","KY","Kentucky",0.339374701739671,0.644721454980164,8,"R",0.362,0.621,"R","R"
"19","LA","Louisiana",0.38210241781786,0.602152493180035,8,"R",0.399,0.585,"R","R"
"20","M1","Maine CD-1",0.597981362191088,0.379678923881869,1,"D",0.601,0.37,"D","D"
"21","M2","Maine CD-2",0.442236534521316,0.537517443642156,1,"R",0.448,0.523,"R","R"
"22","MA","Massachusetts",0.612192697428327,0.360228266899428,11,"D",0.656,0.321,"D","D"
"23","MD","Maryland",0.626190866441938,0.340828230207739,10,"D",0.654,0.322,"D","D"
"24","ME","Maine",0.52401383250639,0.45464080589385,2,"D",0.531,0.44,"D","D"
"25","MI","Michigan",0.483129085097135,0.497271099501323,15,"D",0.506,0.478,"R","R"
"26","MN","Minnesota",0.509225488026749,0.466831391060628,10,"D",0.524,0.453,"D","D"
"27","MO","Missouri",0.400824016876955,0.584906422570891,10,"R",0.414,0.568,"R","R"
"28","MS","Mississippi",0.380281380254489,0.609326374203958,6,"R",0.411,0.576,"R","R"
"29","MT","Montana",0.384597269579292,0.583894431693047,4,"R",0.405,0.569,"R","R"
"30","N1","Nebraska CD-1",0.425220335171802,0.554869860147286,1,"R",0.413,0.563,"R","R"
"31","N2","Nebraska CD-2",0.51323726015704,0.46730541102038,1,"D",0.522,0.457,"R","D"
"32","N3","Nebraska CD-3",0.224358687951184,0.760335352426422,1,"R",0.224,0.756,"R","R"
"33","NC","North Carolina",0.476453381307815,0.508571905836336,16,"R",0.486,0.499,"R","R"
"34","ND","North Dakota",0.305107902921324,0.669568524127066,3,"R",0.318,0.651,"R","R"
"35","NE","Nebraska",0.388575923510421,0.593180715451458,2,"R",0.394,0.585,"R","R"
"36","NH","New Hampshire",0.50652804086153,0.478732275887945,4,"D",0.527,0.454,"D","D"
"37","NJ","New Jersey",0.519741616883839,0.46064630885442,14,"D",0.573,0.414,"D","D"
"38","NM","New Mexico",0.518518999829977,0.45851161410565,5,"D",0.543,0.435,"D","D"
"39","NV","Nevada",0.47493130572991,0.505916462379785,6,"D",0.501,0.477,"D","R"
"40","NY","New York",0.525431482863227,0.394210949598154,28,"D",0.609,0.377,"D","D"
"41","OH","Ohio",0.439284349563472,0.551357990272874,17,"R",0.452,0.533,"R","R"
"42","OK","Oklahoma",0.31899349561,0.66162103420248,7,"R",0.323,0.654,"R","R"
"43","OR","Oregon",0.552730616669332,0.409660444474543,8,"D",0.565,0.404,"D","D"
"44","PA","Pennsylvania",0.486628057239154,0.503725367155867,19,"D",0.5,0.488,"R","R"
"45","RI","Rhode Island",0.555441714421507,0.417631178099909,4,"D",0.594,0.386,"D","D"
"46","SC","South Carolina",0.403608906888947,0.582286295101525,9,"R",0.434,0.551,"R","R"
"47","SD","South Dakota",0.342390924223985,0.634336779181296,3,"R",0.356,0.618,"R","R"
"48","TN","Tennessee",0.344740533600179,0.641939370914985,11,"R",0.375,0.607,"R","R"
"49","TX","Texas",0.424566547431246,0.561399597529967,40,"R",0.465,0.521,"R","R"
"50","UT","Utah",0.377943075349985,0.593766585555602,6,"R",0.376,0.581,"R","R"
"51","VA","Virginia",0.51823867360915,0.460573918434708,13,"D",0.541,0.44,"D","D"
"52","VT","Vermont",0.638270054301043,0.323194070737531,3,"D",0.661,0.307,"D","D"
"53","WA","Washington",0.572287059734885,0.390109674493036,12,"D",0.58,0.388,"D","D"
"54","WI","Wisconsin",0.487370424883097,0.495958711251628,10,"D",0.494,0.488,"R","R"
"55","WV","West Virginia",0.281030024233396,0.69966849553623,4,"R",0.297,0.686,"R","R"
"56","WY","Wyoming",0.258418572150694,0.715980048169843,3,"R",0.266,0.699,"R","R"
